資料序,季節,組別,date,Soil temperture,Soil  water content,ndvi,Relative humidity,Wind speed,Insolation,Temperature,Wind direction,Rainfall ,River flat area,PM10MAX,PM2.5,dustday
1736,乾季,,2015/3/2,s1,s1,s2,s1,s1,s1,s1,s1,s1,s4,s5_100_125,49,0
1737,乾季,,2015/3/3,s1,s1,s2,s2,s1,s7,s1,s1,s1,s4,s6_125_up,69,0
1738,乾季,,2015/3/4,s1,s1,s2,s2,s1,s1,s1,s1,s1,s4,s4_75_100,51,0
1739,乾季,,2015/3/5,s1,s1,s2,s5,s1,s2,s1,s1,s1,s4,s3_50_75,24,0
1740,乾季,,2015/3/6,s1,s1,s2,s5,s1,s3,s1,s1,s1,s4,s3_50_75,31,0
1741,乾季,,2015/3/7,s1,s1,s2,s5,s1,s2,s1,s1,s1,s4,s4_75_100,31,0
1742,乾季,,2015/3/8,s1,s1,s2,s5,s1,s2,s1,s1,s3,s4,s4_75_100,31,0
1743,乾季,,2015/3/9,s1,s1,s2,s1,s1,s7,s1,s1,s1,s4,s4_75_100,46,0
1744,乾季,,2015/3/10,s1,s1,s2,s2,s1,s1,s1,s1,s3,s4,s3_50_75,34,0
1745,乾季,,2015/3/11,s1,s1,s2,s6,s1,s1,s1,s1,s4,s4,s2_25_50,23,0
1746,乾季,,2015/3/12,s1,s4,s2,s6,s1,s1,s1,s1,s3,s4,s3_50_75,27,0
1747,乾季,,2015/3/13,s1,s3,s2,s5,s1,s7,s1,s2,s1,s4,s4_75_100,34,0
1748,乾季,,2015/3/14,s1,s1,s2,s5,s1,s7,s1,s4,s1,s4,s6_125_up,74,0
1749,乾季,,2015/3/15,s4,s1,s2,s5,s1,s7,s2,s2,s1,s4,s6_125_up,83,0
1750,乾季,,2015/3/16,s5,s1,s2,s6,s1,s1,s3,s4,s1,s4,s6_125_up,83,0
1751,乾季,,2015/3/17,s5,s1,s2,s5,s1,s2,s5,s2,s1,s4,s6_125_up,78,0
1752,乾季,,2015/3/18,s6,s1,s2,s1,s4,s7,s6,s3,s1,s4,s4_75_100,20,0
1753,乾季,,2015/3/19,s6,s1,s2,s3,s1,s7,s5,s4,s1,s4,s5_100_125,50,0
1754,乾季,,2015/3/20,s3,s1,s2,s6,s1,s1,s2,s4,s1,s4,s6_125_up,70,0
1755,乾季,,2015/3/21,s3,s1,s2,s5,s1,s1,s1,s1,s1,s4,s5_100_125,46,0
